"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","5","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customDynamicLabelTest","customDynamicLabelTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonStaticLabelTest","commonStaticLabelTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinksTest","staticLinksTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","0","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","annotationTitleTest","Static name",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Mike]","allureParameterizedTest description"
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinkTest","staticLinkTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","0","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","javadocDescriptionTest","javadocDescriptionTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","annotationDescriptionTest","annotationDescriptionTest()","Static description"
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customStaticLabelTest","customStaticLabelTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","16","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","dynamicDescriptionTest","dynamicDescriptionTest()","Dynamic description"
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","dynamicTitleTest","Test with parameter [dynamic parameter]",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","7","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","20","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [John]","allureParameterizedTest description"
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","dynamicLinkTest","dynamicLinkTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","13","","io.qameta.allure.examples.junit5.AllureQuickStartTest","","io.qameta.allure.examples.junit5.AllureQuickStartTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","3","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","24","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonDynamicLabelTest","commonDynamicLabelTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","5","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","annotatedAttachmentTest","annotatedAttachmentTest()",""
"passed","Sun Jan 23 08:00:32 GMT 2022","Sun Jan 23 08:00:32 GMT 2022","4","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","dynamicAttachmentTest","dynamicAttachmentTest()",""
